"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.517,1638,1,"S002","S1",NA,517,"Positive",0,0
0.433,2282,2,"S002","S1",475,475,"Positive",1,0
0.533,739,3,"S002","S1",494,494,"Positive",2,0
0.35,602,4,"S002","S1",458,458,"Positive",3,0
0.517,1951,5,"S002","S1",470,470,"Positive",4,0
0.383,952,6,"S002","S1",456,456,"Positive",5,0
0.383,875,7,"S002","S1",445,445,"Positive",6,0
0.417,2662,8,"S002","S1",442,442,"Positive",7,0
0.367,2800,9,"S002","S1",433,433,"Positive",8,0
0.417,258,10,"S002","S1",432,432,"Positive",9,0
0.317,2285,11,"S002","S1",421,421,"Positive",10,0
0.3,1765,12,"S002","S1",411,411,"Positive",11,0
0.3,1699,13,"S002","S1",403,403,"Positive",12,0
0.35,260,14,"S002","S1",399,399,"Positive",13,0
0.283,2466,15,"S002","S1",391,391,"Positive",14,0
0.333,394,16,"S002","S1",387,387,"Positive",15,0
0.333,418,17,"S002","S1",384,384,"Positive",16,0
0.283,910,18,"S002","S1",379,379,"Positive",17,0
0.283,3128,19,"S002","S1",374,374,"Positive",18,0
0.35,425,20,"S002","S1",372,372,"Positive",19,0
0.317,174,21,"S002","S1",370,370,"Positive",20,0
0.3,3402,22,"S002","S1",367,367,"Positive",21,0
0.316,3084,23,"S002","S1",364,364,"Positive",22,0
0.333,3465,24,"S002","S1",363,363,"Positive",23,0
0.333,2473,25,"S002","S1",362,362,"Positive",24,0
0.35,448,26,"S002","S1",361,361,"Positive",25,0
0.317,150,27,"S002","S1",360,360,"Positive",26,0
0.317,1759,28,"S002","S1",358,358,"Positive",27,0
0.333,246,29,"S002","S1",357,357,"Positive",28,0
0.283,866,30,"S002","S1",355,355,"Positive",29,0
0.317,1123,31,"S002","S1",354,354,"Positive",30,0
0.283,3132,32,"S002","S1",352,352,"Positive",31,0
0.3,2765,33,"S002","S1",350,350,"Positive",32,0
0.367,1110,34,"S002","S1",350,350,"Positive",33,0
0.333,1628,35,"S002","S1",350,350,"Positive",34,0
0.283,3467,36,"S002","S1",348,348,"Positive",35,0
0.25,3284,37,"S002","S1",345,345,"Positive",36,0
0.283,1580,38,"S002","S1",344,344,"Positive",37,0
0.267,1356,39,"S002","S1",342,342,"Positive",38,0
0.3,102,40,"S002","S1",341,341,"Positive",39,0
0.283,2111,41,"S002","S1",339,339,"Positive",40,0
0.3,1957,42,"S002","S1",338,338,"Positive",41,0
0.317,1760,43,"S002","S1",338,338,"Positive",42,0
0.317,1163,44,"S002","S1",337,337,"Positive",43,0
0.333,1087,45,"S002","S1",337,337,"Positive",44,0
0.283,1686,46,"S002","S1",336,336,"Positive",45,0
0.267,2817,47,"S002","S1",335,335,"Positive",46,0
0.3,1264,48,"S002","S1",334,334,"Positive",47,0
0.317,3327,49,"S002","S1",334,334,"Positive",48,0
0.283,2353,50,"S002","S1",333,333,"Positive",49,0
0.267,2482,51,"S002","S1",331,331,"Positive",50,0
0.35,856,52,"S002","S1",332,332,"Positive",51,0
0.317,201,53,"S002","S1",331,331,"Positive",52,0
0.266,1364,54,"S002","S1",330,330,"Positive",53,0
0.25,2388,55,"S002","S1",329,329,"Positive",54,0
0.417,269,56,"S002","S1",330,330,"Positive",55,0
0.283,954,57,"S002","S1",330,330,"Positive",56,0
0.283,3117,58,"S002","S1",329,329,"Positive",57,0
0.317,709,59,"S002","S1",329,329,"Positive",58,0
0.267,1790,60,"S002","S1",327,327,"Positive",59,0
0.25,1880,61,"S002","S1",326,326,"Positive",60,0
0.267,3047,62,"S002","S1",325,325,"Positive",61,0
0.316,650,63,"S002","S1",325,325,"Positive",62,0
0.25,2288,64,"S002","S1",324,324,"Positive",63,0
0.267,3187,65,"S002","S1",323,323,"Positive",64,0
0.266,3203,66,"S002","S1",322,322,"Positive",65,0
0.317,968,67,"S002","S1",322,322,"Positive",66,0
0.267,2298,68,"S002","S1",321,321,"Positive",67,0
0.367,1295,69,"S002","S1",322,322,"Positive",68,0
0.233,1881,70,"S002","S1",321,321,"Positive",69,0
0.317,998,71,"S002","S1",321,321,"Positive",70,0
0.583,163,72,"S002","S1",324,324,"Positive",71,0
0.333,370,73,"S002","S1",324,324,"Positive",72,0
0.3,408,74,"S002","S1",324,324,"Positive",73,0
0.267,1474,75,"S002","S1",323,323,"Positive",74,0
0.267,2105,76,"S002","S1",323,323,"Positive",75,0
0.317,458,77,"S002","S1",322,322,"Positive",76,0
0.284,3415,78,"S002","S1",322,322,"Positive",77,0
0.383,1373,79,"S002","S1",323,323,"Positive",78,0
0.35,1970,80,"S002","S1",323,323,"Positive",79,0
0.25,1865,81,"S002","S1",322,322,"Positive",80,0
0.267,1012,82,"S002","S1",322,322,"Positive",81,0
0.317,525,83,"S002","S1",321,321,"Positive",82,0
0.283,262,84,"S002","S1",321,321,"Positive",83,0
0.267,2370,85,"S002","S1",320,320,"Positive",84,0
0.35,148,86,"S002","S1",321,321,"Positive",85,0
0.3,660,87,"S002","S1",320,320,"Positive",86,0
0.267,2565,88,"S002","S1",320,320,"Positive",87,0
0.25,1355,89,"S002","S1",319,319,"Positive",88,0
0.267,2785,90,"S002","S1",319,319,"Positive",89,0
0.317,1327,91,"S002","S1",318,318,"Positive",90,0
0.3,3224,92,"S002","S1",318,318,"Positive",91,0
0.3,1656,93,"S002","S1",318,318,"Positive",92,0
0.25,1350,94,"S002","S1",317,317,"Positive",93,0
0.25,1953,95,"S002","S1",317,317,"Positive",94,0
0.283,608,96,"S002","S1",316,316,"Positive",95,0
0.267,601,97,"S002","S1",316,316,"Positive",96,0
0.267,1127,98,"S002","S1",315,315,"Positive",97,0
0.333,2807,99,"S002","S1",315,315,"Positive",98,0
0.283,1434,100,"S002","S1",315,315,"Positive",99,0
0.283,3014,101,"S002","S1",315,315,"Positive",100,0
0.283,2107,102,"S002","S1",315,315,"Positive",101,0
0.317,3226,103,"S002","S1",315,315,"Positive",102,0
0.267,2715,104,"S002","S1",314,314,"Positive",103,0
0.283,1888,105,"S002","S1",314,314,"Positive",104,0
0.267,3372,106,"S002","S1",313,313,"Positive",105,0
