"RT","ISI","Trial","Participant","Session","Threshold","MedianComputed","Feedback","Feedback_N_Positive","Feedback_N_Negative"
0.517,1.638,1,"S002","S1",NA,0.517,"Positive",0,0
0.433,2.282,2,"S002","S1",0.475,0.475,"Positive",1,0
0.533,0.739,3,"S002","S1",0.494,0.494,"Negative",2,0
0.35,0.602,4,"S002","S1",0.458,0.458,"Positive",0,1
0.517,1.951,5,"S002","S1",0.47,0.47,"Negative",1,0
0.383,0.952,6,"S002","S1",0.456,0.456,"Positive",0,1
0.383,0.875,7,"S002","S1",0.445,0.445,"Positive",1,0
0.417,2.662,8,"S002","S1",0.442,0.442,"Positive",2,0
0.367,2.8,9,"S002","S1",0.433,0.433,"Positive",3,0
0.417,0.258,10,"S002","S1",0.432,0.432,"Positive",4,0
0.317,2.285,11,"S002","S1",0.421,0.421,"Positive",5,0
0.3,1.765,12,"S002","S1",0.411,0.411,"Positive",6,0
0.3,1.699,13,"S002","S1",0.403,0.403,"Positive",7,0
0.35,0.26,14,"S002","S1",0.399,0.399,"Positive",8,0
0.283,2.466,15,"S002","S1",0.391,0.391,"Positive",9,0
0.333,0.394,16,"S002","S1",0.387,0.387,"Positive",10,0
0.333,0.418,17,"S002","S1",0.384,0.384,"Positive",11,0
0.283,0.91,18,"S002","S1",0.379,0.379,"Positive",12,0
0.283,3.128,19,"S002","S1",0.374,0.374,"Positive",13,0
0.35,0.425,20,"S002","S1",0.372,0.372,"Positive",14,0
0.317,0.174,21,"S002","S1",0.37,0.37,"Positive",15,0
0.3,3.402,22,"S002","S1",0.367,0.367,"Positive",16,0
0.316,3.084,23,"S002","S1",0.364,0.364,"Positive",17,0
0.333,3.465,24,"S002","S1",0.363,0.363,"Positive",18,0
0.333,2.473,25,"S002","S1",0.362,0.362,"Positive",19,0
0.35,0.448,26,"S002","S1",0.361,0.361,"Positive",20,0
0.317,0.15,27,"S002","S1",0.36,0.36,"Positive",21,0
0.317,1.759,28,"S002","S1",0.358,0.358,"Positive",22,0
0.333,0.246,29,"S002","S1",0.357,0.357,"Positive",23,0
0.283,0.866,30,"S002","S1",0.355,0.355,"Positive",24,0
0.317,1.123,31,"S002","S1",0.354,0.354,"Positive",25,0
0.283,3.132,32,"S002","S1",0.352,0.352,"Positive",26,0
0.3,2.765,33,"S002","S1",0.35,0.35,"Positive",27,0
0.367,1.11,34,"S002","S1",0.35,0.35,"Negative",28,0
0.333,1.628,35,"S002","S1",0.35,0.35,"Positive",0,1
0.283,3.467,36,"S002","S1",0.348,0.348,"Positive",1,0
0.25,3.284,37,"S002","S1",0.345,0.345,"Positive",2,0
0.283,1.58,38,"S002","S1",0.344,0.344,"Positive",3,0
0.267,1.356,39,"S002","S1",0.342,0.342,"Positive",4,0
0.3,0.102,40,"S002","S1",0.341,0.341,"Positive",5,0
0.283,2.111,41,"S002","S1",0.339,0.339,"Positive",6,0
0.3,1.957,42,"S002","S1",0.338,0.338,"Positive",7,0
0.317,1.76,43,"S002","S1",0.338,0.338,"Positive",8,0
0.317,1.163,44,"S002","S1",0.337,0.337,"Positive",9,0
0.333,1.087,45,"S002","S1",0.337,0.337,"Positive",10,0
0.283,1.686,46,"S002","S1",0.336,0.336,"Positive",11,0
0.267,2.817,47,"S002","S1",0.335,0.335,"Positive",12,0
0.3,1.264,48,"S002","S1",0.334,0.334,"Positive",13,0
0.317,3.327,49,"S002","S1",0.334,0.334,"Positive",14,0
0.283,2.353,50,"S002","S1",0.333,0.333,"Positive",15,0
0.267,2.482,51,"S002","S1",0.331,0.331,"Positive",16,0
0.35,0.856,52,"S002","S1",0.332,0.332,"Negative",17,0
0.317,0.201,53,"S002","S1",0.331,0.331,"Positive",0,1
0.266,1.364,54,"S002","S1",0.33,0.33,"Positive",1,0
